threshold,tp,fp,fn,tn,precision,recall,f1
0.05,3689,231,0,62,0.9410714285714286,1.0,0.9696412143514259
0.1,3684,164,5,129,0.9573804573804574,0.9986446191379778,0.9775772853920659
0.15,3681,142,8,151,0.9628563955009155,0.9978313906207644,0.9800319488817892
0.2,3681,142,8,151,0.9628563955009155,0.9978313906207644,0.9800319488817892
0.25,3681,142,8,151,0.9628563955009155,0.9978313906207644,0.9800319488817892
0.3,3681,142,8,151,0.9628563955009155,0.9978313906207644,0.9800319488817892
0.35,3680,140,9,153,0.9633507853403142,0.99756031444836,0.9801571447596218
0.39999999999999997,3666,118,23,175,0.968816067653277,0.9937652480346978,0.9811320754716981
0.44999999999999996,3666,118,23,175,0.968816067653277,0.9937652480346978,0.9811320754716981
0.49999999999999994,3655,106,34,187,0.9718160063812816,0.9907834101382489,0.9812080536912753
0.5499999999999999,3644,96,45,197,0.9743315508021391,0.9878015722418,0.9810203257504375
0.6,3644,96,45,197,0.9743315508021391,0.9878015722418,0.9810203257504375
0.65,3641,94,48,199,0.9748326639892905,0.9869883437245867,0.9808728448275863
0.7,3641,94,48,199,0.9748326639892905,0.9869883437245867,0.9808728448275863
0.75,3641,94,48,199,0.9748326639892905,0.9869883437245867,0.9808728448275863
0.7999999999999999,3641,94,48,199,0.9748326639892905,0.9869883437245867,0.9808728448275863
0.85,3548,72,141,221,0.980110497237569,0.9617782596909732,0.970857846490628
0.9,3417,57,272,236,0.9835924006908463,0.9262672811059908,0.9540695239424821
0.95,3098,25,591,268,0.9919948767211015,0.8397939821089726,0.9095713446858485
