dataset,designation,prob,label,Dur_hr,Depth_ppm,P_days,Rp_Re,Teff_K,Rstar_Rsun
K2,HIP 41378 e,1.0,1.0,,,131.0,5.51,6199.0,1.4
K2,HIP 41378 e,1.0,1.0,,,369.0,4.92,6320.0,1.273
K2,HIP 41378 f,1.0,1.0,,,1084.0,,6226.0,1.343
K2,EPIC 201631267.01,1.0,1.0,,,440.0,16.3,4600.0,0.85
K2,WASP-107 c,1.0,1.0,,,1088.0,,4425.0,0.67
K2,HD 224018 d,1.0,1.0,,,138.0731,2.4,5784.0,1.147
K2,HIP 41378 f,1.0,1.0,,,542.07975,9.2,6320.0,1.273
K2,HIP 41378 f,1.0,1.0,,,324.0,10.2,6199.0,1.4
K2,EPIC 203311200.01,1.0,1.0,,,540.0,5.7,5200.0,0.94
K2,HD 3167 e,1.0,1.0,,,102.09,,5300.0,0.871
K2,EPIC 204197636.01,1.0,1.0,,0.1137,46.1373,2.6,,0.723
K2,K2-118 b,1.0,1.0,,0.1193,50.9254,2.48,,0.702
K2,K2-118 b,1.0,1.0,,,50.92092,2.54,4726.29,0.734626
K2,HD 3167 e,1.0,1.0,,,96.63,,5261.0,0.88
K2,EPIC 206135682.04,1.0,1.0,,0.0556,37.827,1.42,,0.577
K2,HD 137496 c,1.0,1.0,,,479.9,,5799.0,1.59
K2,EPIC 201176672.01,1.0,1.0,,,79.9999,10.2,4542.0,0.508
K2,EPIC 220573228.01,1.0,1.0,,0.3222,57.10412,5.61,,0.971
K2,K2-18 b,1.0,1.0,,,32.9418,2.28,3496.0,0.4
K2,EPIC 204991696.01,1.0,1.0,,0.0539,49.8558,3.29,,1.359
K2,EPIC 246711015.01,1.0,1.0,,,13.284219,1.233,3245.0,0.124
K2,EPIC 246711015.02,1.0,1.0,,,24.213117,0.505,3245.0,0.124
K2,K2-72 e,1.0,1.0,,,24.1669,0.82,3497.0,0.232
K2,HIP 41378 d,1.0,1.0,,,1114.0,,6226.0,1.343
K2,K2-185 c,1.0,1.0,,,52.713494,2.39,5788.0,0.94
K2,K2-185 c,1.0,1.0,,0.0757,52.7099,2.48,,0.891
K2,K2-13 b,1.0,1.0,,0.058,39.91488,1.89,5698.0,0.78
K2,EPIC 201720401.01,1.0,1.0,,,6340.0,12.8,4800.0,0.88
K2,K2-13 b,1.0,1.0,,0.0565,40.062771,2.29,5508.0,0.88
K2,WASP-47 c,1.0,1.0,,,589.57,,,1.156
K2,WASP-47 c,1.0,1.0,,,580.7,,5576.0,1.16
K2,EPIC 201892470.01,1.0,1.0,,,2790.0,12.2,5100.0,0.93
K2,K2-2016-BLG-0005L b,1.0,1.0,,,4700.0,,,
K2,WASP-47 c,1.0,1.0,,,588.8,,5552.0,1.137
K2,WASP-47 c,1.0,1.0,,,592.5,,5476.0,1.144
K2,WASP-47 c,1.0,1.0,,,588.5,,5552.0,1.137
K2,WASP-47 c,1.0,1.0,,,588.8,,5552.0,1.137
K2,BD+20 594 b,1.0,1.0,,0.049,41.6855,2.57807,5766.0,1.08
K2,EPIC 203914123.01,1.0,1.0,,,83830.0,12.0,4000.0,0.74
K2,HIP 41378 d,1.0,1.0,,,156.0,3.96,6199.0,1.4
K2,HIP 41378 d,1.0,1.0,,,278.3618,3.54,6320.0,1.273
K2,V1298 Tau e,1.0,1.0,,,60.0,8.74,,1.345
K2,HIP 41378 d,1.0,1.0,,,278.3618,,,1.28
K2,TRAPPIST-1 h,1.0,1.0,,0.346,18.767,0.752,,0.114827
K2,K2-2016-BLG-0005L b,1.0,1.0,,,4700.0,,,
K2,EPIC 220482322.01,1.0,1.0,,0.1602,57.8415,6.13,,1.495
K2,EPIC 220192485.01,1.0,1.0,,,50.693644,8.68300668,5220.0,0.792931
K2,EPIC 210775710.01,1.0,1.0,,,59.848566,10.81438298,5738.0,0.983415
K2,EPIC 212737443 c,1.0,1.0,,0.11,65.55,2.69,4684.0,0.673
K2,K2-263 b,1.0,1.0,,0.0582,50.8213,2.18,,0.879
K2,K2-263 b,1.0,1.0,,,50.818947,2.41,5368.0,0.85
K2,K2-263 b,1.0,1.0,,,50.819331,2.16538589,5410.0,0.837459
K2,K2-263 b,1.0,1.0,,,50.818947,2.41,5368.0,0.85
K2,K2-3 d,1.0,1.0,,,44.55603,1.458,3844.0,0.546
K2,EPIC 212398508.01,1.0,1.0,,0.0793,46.4221,2.66,,0.893
K2,EPIC 212398508.01,1.0,1.0,,0.0681,46.423,,5642.0,0.851697
K2,K2-288 B b,1.0,1.0,,0.1531,31.3888,1.25,,0.312
K2,K2-288 B b,1.0,1.0,,,31.393463,1.9,3341.0,0.32
K2,K2-3 d,1.0,1.0,,0.0731,44.56115,1.7,3927.0,0.58
K2,K2-3 d,1.0,1.0,,,44.55612,,3920.0,0.550856
K2,K2-3 d,1.0,1.0,,,44.55765,1.61,,0.561
K2,K2-3 d,1.0,1.0,,,44.556456,1.52,3896.0,0.561
K2,K2-3 d,1.0,1.0,,,44.55983,1.51,3896.0,0.56
K2,K2-3 d,1.0,1.0,,,44.5631,1.52,3896.0,0.561
K2,K2-3 d,1.0,1.0,,,44.5609,0.96,3841.0,0.371
K2,EPIC 212008766.02,1.0,1.0,,,74.8,4.34,5044.0,0.7
K2,K2-312 c,1.0,1.0,,,921.2,,5959.0,1.22
K2,K2-3 d,1.0,1.0,,,44.5705,1.53,,0.553
K2,K2-3 d,1.0,1.0,,,44.55764,1.65,3835.0,0.6
K2,K2-3 d,1.0,1.0,,0.0782,44.5574,1.11,,0.371
K2,K2-3 d,1.0,1.0,,,44.556456,1.62,3835.0,0.6
K2,K2-3 d,1.0,1.0,,,44.5631,1.52,3896.0,0.561
K2,K2-3 d,1.0,1.0,,,44.55646,,3896.0,0.561
K2,EPIC 211988320.01,1.0,1.0,,0.193,63.8432,2.78,,0.594
K2,K2-155 d,1.0,1.0,,0.074,40.718,1.9,4258.0,0.58
K2,K2-155 d,1.0,1.0,,,40.6835,1.64,3919.0,0.526
K2,WASP-107 c,1.0,1.0,,,1088.0,,4425.0,0.67
K2,WASP-107 c,1.0,1.0,,,1088.0,,4425.0,0.67
K2,WASP-47 c,1.0,1.0,,,572.0,,5576.0,1.15
K2,EPIC 211988320.01,1.0,1.0,,,63.84825,2.86,3973.09,0.731598
K2,V1298 Tau e,0.9988290398126464,1.0,,,40.2,8.23860081,5050.0,1.278
K2,EPIC 201650711.02,0.9988290398126464,1.0,,0.0152,5.54583,0.441,,0.34
K2,EPIC 201654498.01,0.9988290398126464,1.0,,0.085,18.4502,2.52,,0.717
K2,EPIC 201663879.02,0.9988290398126464,1.0,,0.045,35.621,1.89,5440.0,0.898
K2,K2-136 b,0.9988290398126464,1.0,,,7.9752,1.014,4500.0,0.677
K2,K2-136 b,0.9988290398126464,1.0,,,7.975292,0.99,4499.0,0.66
K2,K2-136 c,0.9988290398126464,1.0,,,17.30681,3.14,4359.0,0.723
K2,K2-136 c,0.9988290398126464,1.0,,,17.307137,2.91,4499.0,0.66
K2,K2-136 c,0.9988290398126464,1.0,,,17.30713,3.0,4500.0,0.677
K2,K2-136 c,0.9988290398126464,1.0,,,17.3077,3.03,4364.0,0.71
K2,K2-136 c,0.9988290398126464,1.0,,,17.307013,,4364.0,0.71
K2,K2-136 d,0.9988290398126464,1.0,,,25.575065,1.45,4499.0,0.66
K2,K2-136 d,0.9988290398126464,1.0,,,25.575,1.565,4500.0,0.677
K2,K2-136 d,0.9988290398126464,1.0,,,25.5715,1.55,4359.0,0.723
K2,K2-162 b,0.9988290398126464,1.0,,,9.457747,1.48630496,4885.0,0.725626
K2,K2-162 b,0.9988290398126464,1.0,,0.02669,9.45889,1.44,4842.0,0.69
