dataset,designation,prob,label,Dur_hr,Depth_ppm,P_days,Rp_Re,Teff_K,Rstar_Rsun
KOI,K02842.02,1.0,1.0,0.9613,2355.0,5.14892346,1.72,3464.0,0.328
KOI,K02705.01,1.0,1.0,0.9879,631.8,2.8867624,1.24,3483.0,0.389
KOI,K00817.02,1.0,1.0,1.3421,824.3,8.29561738,1.82,3747.0,0.524
KOI,K02842.03,1.0,1.0,0.9324,1820.5,3.036208739,1.4,3464.0,0.328
KOI,K00899.03,1.0,1.0,2.4714,756.1,15.36845737,1.11,3561.0,0.411
KOI,K03497.01,1.0,1.0,2.1521,345.7,20.35971899,0.8,3419.0,0.344
KOI,K00571.01,1.0,1.0,2.2691,659.1,7.26731094,1.14,3751.0,0.443
KOI,K00314.02,1.0,1.0,1.7012,598.3,23.08902241,1.24,3846.0,0.503
KOI,K00314.01,1.0,1.0,2.3188,756.0,13.78109471,1.42,3846.0,0.503
KOI,K00571.03,1.0,1.0,1.7574,471.3,3.886795001,0.97,3751.0,0.443
KOI,K01422.03,1.0,1.0,1.853,748.7,10.8644095,1.14,3526.0,0.383
KOI,K03094.01,1.0,1.0,0.949,710.0,4.5770016,1.33,3805.0,0.497
KOI,K01843.01,1.0,1.0,1.7807,660.7,4.194496867,1.57,3706.0,0.522
KOI,K00478.01,1.0,1.0,1.4814,1795.5,11.023474798,2.46,3744.0,0.537
KOI,K00247.01,1.0,1.0,2.3244,1032.6,13.81504449,1.91,3732.0,0.509
KOI,K01725.01,1.0,1.0,1.8915,1472.7,9.8786461,1.6,3609.0,0.422
KOI,K01422.01,1.0,1.0,1.8734,1336.3,5.841636615,1.38,3526.0,0.383
KOI,K03034.01,1.0,1.0,2.012,859.5,31.0209175,1.66,3720.0,0.48
KOI,K00249.01,1.0,1.0,1.5832,1826.9,9.549277089,1.57,3547.0,0.369
KOI,K00899.01,1.0,1.0,2.1764,807.6,7.11373257,1.16,3561.0,0.411
KOI,K01868.01,1.0,1.0,1.6679,1287.2,17.76076524,1.93,3826.0,0.516
KOI,K01174.01,1.0,1.0,9.408,1474.9,129995.7784,2.99,4500.0,0.726
KOI,K01867.02,1.0,1.0,1.5871,1110.0,13.96950181,2.04,3716.0,0.506
KOI,K04290.01,1.0,1.0,1.096,1544.0,4.83809469,0.79,3187.0,0.2
KOI,K06863.01,1.0,1.0,0.8161,2265.0,4.48559215,0.95,3236.0,0.193
KOI,K01867.03,1.0,1.0,2.098,430.0,5.21230171,1.04,3716.0,0.506
KOI,K00156.01,0.9782608695652174,1.0,2.6332,591.0,8.041347775,1.29,3980.0,0.54
KOI,K00571.02,0.9782608695652174,1.0,2.7399,799.7,13.3430025,1.29,3751.0,0.443
KOI,K00952.01,0.9782608695652174,1.0,2.1979,1525.2,5.90127815,1.94,3731.0,0.498
KOI,K00251.01,0.9782608695652174,1.0,1.8464,2338.0,4.164384505,2.54,3808.0,0.508
KOI,K01422.05,0.9782608695652174,1.0,2.945,788.0,34.1420506,1.06,3526.0,0.383
KOI,K02036.01,0.9782608695652174,1.0,2.4553,755.6,8.41100305,1.8,3757.0,0.539
KOI,K01515.02,0.9782608695652174,1.0,1.0406,481.7,7.06117322,1.23,4042.0,0.49
KOI,K00253.01,0.9782608695652174,1.0,1.7504,2313.2,6.383159135,2.73,3757.0,0.576
KOI,K01907.01,0.9782608695652174,1.0,2.2792,1221.0,11.35010642,1.75,3597.0,0.514
KOI,K03138.02,0.9782608695652174,1.0,1.013,1732.0,19.5352551,0.53,2703.0,0.118
KOI,K03444.04,0.9782608695652174,1.0,1.503,208.1,14.1502311,0.74,3705.0,0.529
KOI,K01201.01,0.9782608695652174,1.0,0.9267,563.1,2.757584622,1.01,3683.0,0.424
KOI,K01078.02,0.9782608695652174,1.0,1.3692,1632.3,6.877446033,2.05,3789.0,0.46
KOI,K00818.01,0.9782608695652174,1.0,2.2736,1558.0,8.11437482,2.1,3692.0,0.517
KOI,K02704.02,0.9782608695652174,1.0,1.2637,2598.0,2.984157711,0.92,3157.0,0.18
