threshold,tp,fp,fn,tn,precision,recall,f1
0.05,5946,1165,0,32,0.8361693151455492,1.0,0.9107758290572107
0.1,5944,1141,2,56,0.8389555398729711,0.9996636394214599,0.9122860870232523
0.15,5944,1141,2,56,0.8389555398729711,0.9996636394214599,0.9122860870232523
0.2,5939,1116,7,81,0.8418143160878809,0.9988227379751093,0.9136220290746867
0.25,5925,1068,21,129,0.8472758472758473,0.9964682139253279,0.9158358451194064
0.3,5925,1068,21,129,0.8472758472758473,0.9964682139253279,0.9158358451194064
0.35,5845,895,101,302,0.8672106824925816,0.9830137907837202,0.9214882547690367
0.39999999999999997,5810,838,136,359,0.8739470517448856,0.9771274806592667,0.9226615848816895
0.44999999999999996,5796,820,150,377,0.8760580411124547,0.9747729566094854,0.9227829963381627
0.49999999999999994,5796,820,150,377,0.8760580411124547,0.9747729566094854,0.9227829963381627
0.5499999999999999,5629,669,317,528,0.8937758018418546,0.9466868483013791,0.9194707611891538
0.6,5629,669,317,528,0.8937758018418546,0.9466868483013791,0.9194707611891538
0.65,5599,650,347,547,0.8959833573371739,0.9416414396232762,0.9182451824518246
0.7,5415,558,531,639,0.9065796082370668,0.9106962663975782,0.9086332746035741
0.75,5284,506,662,691,0.9126079447322971,0.8886646485031954,0.9004771642808452
0.7999999999999999,4851,382,1095,815,0.9270017198547679,0.8158425832492432,0.8678772698810269
0.85,4688,347,1258,850,0.9310824230387289,0.7884291960982173,0.8538384482287587
0.9,3729,209,2217,988,0.946927374301676,0.6271442986881938,0.754552812626467
0.95,635,22,5311,1175,0.9665144596651446,0.10679448368651194,0.19233681659851584
