dataset,designation,prob,label,Dur_hr,Depth_ppm,P_days,Rp_Re,Teff_K,Rstar_Rsun
TOI,772.02,1.0,1.0,4.3105796,4290.7780126,744.2007603,5.3137751,5184.0,0.815374
TOI,7390.01,1.0,1.0,4.8546107,924.1311645,81.3716681,1.643195,3861.0,0.536259
TOI,5564.01,1.0,1.0,6.902,10000.0,760.0530038,10.8619,5722.0,0.89
TOI,7068.01,1.0,1.0,20.5949466,4156.2818203,,8.964682,6181.58,1.36797
TOI,4600.02,1.0,1.0,10.8504687,6928.144617,482.8191,6.9087752,5073.0,0.831915
TOI,904.02,1.0,1.0,4.9317658,1856.5912767,83.9993991,2.3408341,3992.0,0.532439
TOI,4600.01,1.0,1.0,7.5240298,6529.5765126,82.6901439,6.8236925,5073.0,0.831915
TOI,1680.01,1.0,1.0,1.1658648,4358.1157678,4.8026561,1.4202459,3231.0,0.213459
TOI,210.01,1.0,1.0,1.8443264,4125.0713,9.0105414,2.1513682,3275.0,0.330146
TOI,7456.01,1.0,1.0,12.3268905,2130.9227361,,4.6097545,5328.63,1.0
TOI,4563.01,1.0,1.0,3.8041623,5535.4604085,743.4843888,5.4510788,5342.0,0.697666
TOI,5987.01,1.0,1.0,4.8155571,1609.7433089,48.7130843,2.4883067,3943.0,0.621798
TOI,5729.01,1.0,1.0,2.9052363,6058.5947589,554.4989676,3.8883371,3870.0,0.423548
TOI,203.01,1.0,,8.094,2534.0,51.94509,0.705818,3203.0,0.23
TOI,7395.01,1.0,1.0,9.1490581,11477.528288,125.8659048,11.5595833,5968.88,1.0645
TOI,1892.01,1.0,1.0,5.1231542,784.5879336,1837.8897313,2.231604,5256.0,0.795285
TOI,6002.01,1.0,1.0,1.5530648,4030.7760993,10.9048392,1.5489482,3272.0,0.242121
TOI,2009.01,1.0,1.0,2.1734134,865.169438,1071.0898448,2.2407785,4755.33,0.701499
TOI,6869.01,1.0,1.0,3.659,28404.0,763.9701133,8.20454,3671.0,0.53
TOI,4312.01,1.0,,2.2543368,1707.6927809,726.1175225,2.4385296,3808.0,0.55033
TOI,4349.01,1.0,1.0,4.9894211,1750.9801691,749.1605231,2.343896,3851.0,0.558169
TOI,4353.01,1.0,1.0,2.9233151,973.6269156,718.1809317,1.3653089,3614.0,0.425623
TOI,5696.01,1.0,1.0,5.981,1323.0,1637.265104,3.16626,5271.0,0.83
TOI,709.02,1.0,1.0,4.3877266,7211.9264886,777.0516742,1.3396102,50000.0,0.147
TOI,4341.01,1.0,,7.879331,9135.2110162,18.4043334,1.2834433,2891.0,0.133376
TOI,6007.01,1.0,1.0,4.2222063,3029.1585847,949.7905952,2.8632815,3500.0,0.424371
TOI,2321.01,1.0,1.0,3.612,867.0,716.3497402,2.90826,5645.84,0.97
TOI,1563.01,1.0,1.0,6.121,4496.0,1098.2258586,5.13949,4582.0,0.74
TOI,5716.01,1.0,1.0,1.0575063,1998.3738721,6.7662729,1.0176743,3331.0,0.225966
TOI,1338.01,1.0,1.0,11.6316864,2600.061605,95.174,7.8498891,5723.2,1.51811
TOI,7296.01,1.0,1.0,4.173,12411.0,170.3363911,11.6916,5621.0,0.97
TOI,5718.01,1.0,1.0,4.424864,1562.8136485,716.8426894,2.6487075,3922.0,0.672256
TOI,2296.01,1.0,1.0,15.5650549,403.2688035,139.2632286,1.8388146,5373.01,0.90717
TOI,5731.01,1.0,1.0,6.682468,2898.2731965,270.303816,4.4969676,4448.25,0.767409
TOI,6857.01,1.0,1.0,1.763,22227.0,10.0512067,5.57868,3428.0,0.38
TOI,1452.01,1.0,1.0,1.7587777,3249.1164334,11.0619937,1.6184944,3248.0,0.275364
TOI,5990.01,1.0,1.0,6.2194192,456.5698347,700.9622566,2.2203819,5626.0,1.00018
TOI,4706.01,1.0,1.0,5.289,9100.0,735.982363,12.541,5309.0,1.01
TOI,2257.01,1.0,1.0,3.3254029,4524.9353925,35.1896444,2.2253696,3446.0,0.326932
TOI,6041.01,1.0,1.0,3.534,2352.0,1094.062167,4.39378,5359.0,0.85
TOI,5207.01,1.0,1.0,3.696,13290.0,24.6951647,6.41046,3850.0,0.56
TOI,5722.01,1.0,1.0,5.7455309,6593.1382192,61.3191144,6.3907079,4911.0,0.795305
